Feature,F_Score,P_Value,Significant
study_hours_per_day,18856.920899791305,0.0,True
study_to_phone_ratio,14347.417108199998,0.0,True
break_efficiency_score,5810.759949021295,0.0,True
academic_engagement_score,5175.720854223893,0.0,True
stress_focus_balance,4743.0088697045985,0.0,True
focus_score,4130.251839581201,0.0,True
sleep_hours,2660.50828769824,0.0,True
phone_usage_hours,946.2268681530891,1.2526252310215635e-202,True
stress_level,824.8657536892234,1.8247766032255619e-177,True
attendance_percentage,618.6726515228019,2.478621146834074e-134,True
healthy_lifestyle_score,611.9674746187578,6.3835573445760134e-133,True
digital_distraction_score,405.68616303426427,2.9630089778157378e-89,True
caffeine_stress_interaction,297.51745092230374,3.82413058791862e-66,True
coffee_intake_mg,2.658347703859393,0.10302492496770216,False
youtube_hours,0.7042471567546543,0.40137123753985177,False
age,0.6466368328317296,0.421328134925237,False
breaks_per_day,0.19507200971783795,0.6587335595330367,False
social_media_hours,0.1717307738720903,0.6785830380201544,False
assignments_completed,0.11554352986407906,0.7339229825714765,False
gender_encoded,0.048577573690006544,0.8255596106188442,False
gaming_hours,0.0058073085085818136,0.9392562834092968,False
exercise_minutes,0.0006146295371585456,0.9802213637501237,False
