Feature,Lasso_Coefficient
study_hours_per_day,11.504734193596583
stress_focus_balance,6.537358334397286
sleep_hours,5.411192812973866
phone_usage_hours,4.8882751698974785
attendance_percentage,2.7522105424202876
stress_level,2.0983171842056074
study_to_phone_ratio,0.1390036662742571
age,0.0
break_efficiency_score,0.0
academic_engagement_score,0.0
healthy_lifestyle_score,0.0
digital_distraction_score,0.0
focus_score,0.0
assignments_completed,0.0
gender_encoded,0.0
exercise_minutes,0.0
coffee_intake_mg,0.0
breaks_per_day,0.0
gaming_hours,0.0
youtube_hours,0.0
social_media_hours,0.0
caffeine_stress_interaction,0.0
