Feature,VIF
assignments_completed,inf
digital_distraction_score,inf
study_hours_per_day,inf
sleep_hours,inf
phone_usage_hours,inf
social_media_hours,inf
youtube_hours,inf
stress_focus_balance,inf
academic_engagement_score,inf
exercise_minutes,inf
healthy_lifestyle_score,inf
attendance_percentage,inf
stress_level,inf
focus_score,inf
gaming_hours,4264271.320504651
caffeine_stress_interaction,7.393437928972031
break_efficiency_score,6.880927546497114
study_to_phone_ratio,5.774055602356638
coffee_intake_mg,4.629690180085463
breaks_per_day,3.6481315415304785
age,1.0007030374345833
gender_encoded,1.0004138156197167
